,FILE_NAME,JOB_CLASS_TITLE,JOB_CLASS_NO,JOB_DUTIES,EDUCATION_YEARS,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EXP_JOB_CLASS_TITLE,COURSE_COUNT,COURSE_LENGTH,COURSE_SUBJECT,DRIVERS_LICENSE_REQ,EXAM_TYPE,ENTRY_SALARY,OPEN_DATE,REQUIREMENT_SET_TEXT
0,311 DIRECTOR  9206 041814.txt,311 DIRECTOR,9206,"A 311 Director is responsible for the successful operation and expansion of the 311 Call Center in the Information Technology Agency (ITA) which answers call from constituents regarding Citywide services provided by City departments; works to ensure the efficient and effective resolution of any issues that may arise; plans, directs, hires, coaches, and coordinates a large staff of professional, technical and clerical employees engaged in the implementation, administration, and operations of the City's 311 Call Center; applies sound supervisor principles and techniques in building and maintaining and effective work force; fulfills equal opportunity responsibilities; and does related work.",,,,,,,,,,,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$125,175-$155,514",04-18-14,
1,ACCOUNTANT 1513 062218.txt,ACCOUNTANT,1513,"An Accountant does professional accounting work in the analysis, preparation, maintenance, control, and reconciliation of financial records and reports in accordance with the principles of governmental and public accounting.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$49,903-$72,996",06-22-18,
2,ACCOUNTING CLERK 1223 071318.txt,ACCOUNTING CLERK,1223,"An Accounting Clerk performs difficult and responsible clerical accounting work in the review, preparation, processing, reconciliation, and maintenance of accounting records and reports, or payroll and time keeping documents; processing and monitoring of invoice payments, and personal services contract invoice payments; may perform cashiering duties; or may act as a lead person in the performance of such work.",,,,,,,,,,,OPEN COMPETITIVE BASIS,"$49,005-$71,618",07-13-18,
3,ACCOUNTING RECORDS SUPERVISOR 1119 072718.txt,ACCOUNTING RECORDS SUPERVISOR,1119,"An Accounting Records Supervisor assigns, reviews and evaluates the work of a group of clerical employees engaged in the preparation, processing, and maintenance of a wide variety of accounting or financial records; or supervises accounting clerical personnel serving as cashiers or tellers; applies sound supervisory techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,,INTERDEPARTMENTAL PROMOTIONAL,"$55,332-$80,930",07-27-18,
4,ADMINISTRATIVE ANALYST 1590 060118.txt,ADMINISTRATIVE ANALYST,1590,"An Administrative Analyst performs professional work in the Office of the City Administrative Officer investigating, assembling, and interpreting facts and making reports and recommendations in administrative, fiscal, budgetary, compensation, facilities, contract analysis, capital projects or procedural analysis of City activities and services.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$60,489-$88,468",06-01-18,
5,ADMINISTRATIVE CLERK 1358 033018 (2).txt,ADMINISTRATIVE CLERK ,1358,"An Administrative Clerk performs general office work, which may include customer service, basic word processing, data entry, filing and organizing, and related work.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$37,584-$54,935",03-30-18,
6,ADMINISTRATIVE HEARING EXAMINER 9135 100915.txt,ADMINISTRATIVE HEARING EXAMINER,9135,"An Administrative Hearing Examiner conducts quasi-judicial administrative hearings on appeals on parking violation citations, adjudicates written declaration requests for reconsideration of parking violation citations, conducts vehicle impound hearings, and does related work.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$54,726-$80,012",10-09-15,
7,ADVANCE PRACTICE PROVIDER CORRECTIONAL CARE 2325 020808 REV 111214.txt,ADVANCE PRACTICE PROVIDER CORRECTIONAL CARE,2325,"An Advance Practice Provider Correctional Care is responsible for obtaining medical histories, performing physical examinations, ordering and interpreting diagnostic tests, assessing medical conditions, providing medical care and treatment, and performing related duties as required under standardized procedures and/or protocols established by the department in one of the City's correctional care facilities.",,,,,,,,,,,OPEN COMPETITIVE BASIS,"$78,487-$97,530",02-08-08,
8,AIR CONDITIONING MECHANIC 3774 041417.txt,AIR CONDITIONING MECHANIC,3774,"An Air Conditioning Mechanic installs, modifies, maintains, and repairs air-conditioning, refrigeration, heating, ventilating, and related equipment including control systems which may utilize electric, electronic, pneumatic or direct digital controls.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$90,118 (flat-rated)",04-14-17,
9,AIR CONDITIONING MECHANIC SUPERVISOR 3781 111618 2.txt,AIR CONDITIONING MECHANIC SUPERVISOR,3781,"An Air Conditioning Mechanic Supervisor assigns, reviews and evaluates the work of a crew engaged in the installation, modification, maintenance and repair of refrigeration, air conditioning, heating and ventilating equipment and related facilities; lays out and prepares cost estimates for new installations; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$103,841-$108,482",11-16-18,
10,AIRPORT AIDE 1540 081018.txt,AIRPORT AIDE,1540,An Airport Aide provides services and transportation for visiting dignitaries and Airport officials and may supervise others assisting in such activities.,,,,,,,,,,,INTERDEPARTMENTAL PROMOTIONAL,"$43,242-$63,203",08-10-18,
11,AIRPORT CHIEF INFORMATION SECURITY OFFICER 1404 120415_Modified.txt,AIRPORT CHIEF INFORMATION SECURITY OFFICER,1404,"Airport Chief Information Security Officer manages the design, development, implementation, operation and maintenance of all LAWA information security programs; protects the confidentiality, integrity, and availability of all voice, data network, application, network infrastructure and their associated information assets; creates a security-conscious culture through training and development; implements and maintains a security infrastructure based on policies and procedures; ensures compliance with applicable Federal, State, local laws and ordinances; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,,OPEN COMPETITIVE BASIS,"$125,551-$183,576",12-04-15,
12,AIRPORT ENGINEER 7256 070618.txt,AIRPORT ENGINEER,7256,"An Airport Engineer performs professional engineering work in the planning, design, construction, maintenance, and operation of landside facilities, structures, pavement and support systems at an airport; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$105,005-$153,509",07-06-18,
13,AIRPORT GUIDE 0845 042018.txt,AIRPORT GUIDE,0845,An Airport Guide directs arriving passengers to appropriate lines or locations in and around airport facilities; assists passengers in the completion of necessary paperwork; assists with foreign language translations; provides a wide range of airport/airline information to passengers; transports elected officials to various locations on airport property; conducts visitor tours; organizes and hosts special events; serves as museum docent; represents LAWA to the public; assists responding agencies during airport emergencies; may plan and supervise the work of other Airport Guides; and does related work.,,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$31,946-$44,265",4-20-18,
